PXD002801: mouse livers; CC experiment																																																											
"Program ""PAW_protein_grouper.py"" run on Tue Oct 28 09:49:56 2025"																																																											
																																																											
 	6326																								CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool		CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool		CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool
4413	1	sp|Q91Y47|FA11_MOUSE	 	 	 	 	151621	13.8	624	69788	Coagulation factor XI OS=Mus musculus OX=10090 GN=F11 PE=2 SV=2	15	15	1	8	2	5	8	2	5	8	2	5	8	428810	208769	287210	19218	255775	396462	297211	24776	403482	403441	272515	2	83975	37035	76256	727	53127	50570	87035	969	127666	57755	57511	5	200237	99506	110948	6043	91070	120429	246153	7647	236555	129779	124837
5277	1	sp|Q9D7H3|RTCA_MOUSE	 	 	 	 	151620	16.1	366	39254	RNA 3'-terminal phosphate cyclase OS=Mus musculus OX=10090 GN=RtcA PE=1 SV=2	11	11	1	2	4	5	2	4	5	2	4	5	2	103323	49019	103432	2222	61971	91228	44500	6873	159181	155330	77708	4	192054	83577	224172	4907	118417	154802	151110	5536	298267	125509	135835	5	341923	247557	321500	20739	231266	249568	279938	15371	447777	257540	241318
4913	1	sp|Q9CR02|TMA16_MOUSE	 	 	 	 	151597	10.4	221	25782	Translation machinery-associated protein 16 OS=Mus musculus OX=10090 GN=Tma16 PE=1 SV=1	7	7	1	3	1	3	3	1	3	3	1	3	3	329235	231519	354568	15779	342972	345735	178077	14406	291772	395744	249981	1	101957	94173	142282	6843	117195	112167	107990	5804	132322	130397	95113	3	120258	126657	125810	3686	159921	129724	154984	5771	179940	90227	109698
2097	1	sp|Q3UG98|NAT9_MOUSE	 	 	 	 	151569	21.2	241	27662	Alpha/beta-tubulin-N-acetyltransferase 9 OS=Mus musculus OX=10090 GN=Nat9 PE=1 SV=2	10	10	1	4	2	4	4	2	4	4	2	4	4	220186	166538	200963	19620	225125	256692	140760	23261	216992	296634	176677	2	81479	63137	91910	6268	78803	104711	96702	7205	136297	98503	76501	4	239583	219720	206346	17792	239398	255603	299316	12525	341231	183779	201529
1716	1	sp|P70451|FER_MOUSE	 	 	 	 	151454	5.3	823	94578	Tyrosine-protein kinase Fer OS=Mus musculus OX=10090 GN=Fer PE=1 SV=2	7	7	1	2	1	4	2	1	4	2	1	4	2	204016	150111	225548	10559	210242	263257	126726	10021	183017	231661	161516	1	33277	30445	49079	2723	28983	51294	35915	3409	50491	42994	32861	4	271464	321469	357475	18365	301939	405335	321162	14023	379224	209384	259984
3180	1	sp|Q8BGW1|FTO_MOUSE	 	 	 	 	151433	5.8	502	58006	Alpha-ketoglutarate-dependent dioxygenase FTO OS=Mus musculus OX=10090 GN=Fto PE=1 SV=1	5	5	1	2	1	2	2	1	2	2	1	2	2	269722	247436	307160	11498	338339	337947	91267	10127	500900	139920	225432	1	52129	49235	81291	2736	53234	72168	44739	2855	59144	62770	48030	2	214895	212676	234325	9113	234406	218029	261961	4975	271845	146162	180839
3953	1	sp|Q8R0J7|VP37B_MOUSE	 	 	 	 	151027	38.2	285	31055	Vacuolar protein sorting-associated protein 37B OS=Mus musculus OX=10090 GN=Vps37b PE=1 SV=1	14	14	1	6	3	5	6	3	5	6	3	5	6	253211	159766	268183	10053	229446	300654	173282	13717	269853	277514	195568	3	92709	61321	131816	4128	69741	131520	82439	9406	113495	61205	75778	5	230257	193051	225852	13316	198689	230282	242578	9907	292236	181190	181736
3395	1	sp|Q8BU31|RAP2C_MOUSE	 	 	"sp|Q80ZJ1|RAP2A_MOUSE, sp|Q8BU31|RAP2C_MOUSE"	 	150733	43.2	183	20745	Ras-related protein Rap-2c OS=Mus musculus OX=10090 GN=Rap2c PE=1 SV=1	12	5	0.417	4	4	4	2	1	2	3.333	2.5	3.333	2	159936	103656	184482	10218	174238	178470	97862	11229	151110	154755	122596	1	139057	128447	227936	10767	155296	166855	131526	8908	162860	139482	127113	2	231570	237749	296445	20068	270271	260726	262105	14434	282081	149451	202490
1964	1	sp|Q32NY4|CNNM3_MOUSE	 	 	 	 	150683	4.2	713	76278	Metal transporter CNNM3 OS=Mus musculus OX=10090 GN=Cnnm3 PE=1 SV=2	8	8	1	2	3	3	2	3	3	2	3	3	2	129136	102866	141109	7970	118445	127134	75304	6065	114957	126947	94993	3	244591	179232	371925	11359	225871	241443	198456	10019	323875	230378	203715	3	194258	203412	211403	14385	186082	173053	184813	9509	236369	120132	153342
1295	1	sp|P49710|HCLS1_MOUSE	 	 	 	 	150064	13.6	486	54240	Hematopoietic lineage cell-specific protein OS=Mus musculus OX=10090 GN=Hcls1 PE=1 SV=2	14	14	1	5	6	3	5	6	3	5	6	3	5	210927	111912	385370	10960	191635	367629	145283	18734	193623	274943	191102	6	172442	117423	383895	12826	162662	431969	230594	20592	209056	172379	191384	3	63581	58279	101173	5720	64471	135087	95528	8974	94923	49316	67705
3794	1	sp|Q8K0Q5|RHG18_MOUSE	 	 	 	 	149907	9.4	663	74929	Rho GTPase-activating protein 18 OS=Mus musculus OX=10090 GN=Arhgap18 PE=1 SV=1	14	14	1	4	5	5	4	5	5	4	5	5	4	244922	141332	302351	13489	200050	273982	123697	12120	152128	189141	165321	5	253315	137539	345853	10974	191944	240778	180598	12703	237669	220792	183217	5	160298	90196	179830	7573	101780	124330	121418	6483	135136	84793	101184
1689	1	sp|P70288|HDAC2_MOUSE	 	 	"sp|O09106|HDAC1_MOUSE, sp|P70288|HDAC2_MOUSE"	 	149692	22.7	488	55302	Histone deacetylase 2 OS=Mus musculus OX=10090 GN=Hdac2 PE=1 SV=1	17	8	0.471	7	5	5	3	3	2	5.4	3.857	3.5	3	168003	169803	187868	13016	187318	221479	99955	10794	136104	151445	134579	3	194503	261394	225366	16097	426619	273379	257286	16069	303210	407794	238172	2	83473	104870	95898	10644	95144	107427	105497	4938	86718	68642	76325
1179	1	sp|P39749|FEN1_MOUSE	 	 	 	 	149606	10.1	378	42314	Flap endonuclease 1 OS=Mus musculus OX=10090 GN=Fen1 PE=1 SV=1	8	8	1	3	3	2	3	3	2	3	3	2	3	219201	187289	270958	16123	209816	300565	140863	15477	196740	348532	190556	3	141467	133323	199680	7815	114354	183927	143723	8353	154579	175875	126310	2	138193	183606	180083	11372	136381	156055	136068	9091	224845	143823	131952
3969	1	sp|Q8R115|TMM82_MOUSE	 	 	 	 	149509	5.6	356	38881	Transmembrane protein 82 OS=Mus musculus OX=10090 GN=Tmem82 PE=1 SV=2	6	6	1	1	3	2	1	3	2	1	3	2	1	27992	7658	23429	543	9893	27077	15803	666	21938	23953	15895	3	192130	107160	218268	8108	118780	279626	190386	11857	225655	140936	149291	2	340580	351368	387422	21819	336209	367197	380524	23915	431395	193001	283343
5566	1	sp|Q9ER69|FL2D_MOUSE	 	 	 	 	149372	10.4	396	44176	Pre-mRNA-splicing regulator WTAP OS=Mus musculus OX=10090 GN=Wtap PE=1 SV=3	7	7	1	3	1	3	3	1	3	3	1	3	3	216967	121184	254175	9386	234584	191975	150605	8560	208600	242512	163855	1	169739	77622	219585	5385	135225	97986	175857	4316	203925	143254	123290	3	207633	159417	221957	12336	201713	162059	236549	7014	260473	140555	160971
1793	1	sp|P97452|BOP1_MOUSE	 	 	 	 	149067	6.4	732	82545	Ribosome biogenesis protein BOP1 OS=Mus musculus OX=10090 GN=Bop1 PE=1 SV=1	7	7	1	2	3	2	2	3	2	2	3	2	2	151491	123652	152666	7874	178068	198707	91262	7121	144991	168831	122466	3	159289	141124	208240	7037	171484	151621	148069	6092	211859	187721	139254	2	229562	249169	213598	6574	237772	175864	248659	5456	307325	180833	185481
2128	1	sp|Q3UKC1|TAXB1_MOUSE	 	 	 	 	149010	8.8	814	93629	Tax1-binding protein 1 homolog OS=Mus musculus OX=10090 GN=Tax1bp1 PE=1 SV=2	14	14	1	3	6	5	3	6	5	3	6	5	3	89163	79980	95494	7786	93163	97041	62177	5798	103431	111258	74529	6	269699	217613	362407	12995	278637	296806	287310	13640	390446	303452	243300	5	160493	156412	171064	12914	159229	142513	175898	7031	189679	116762	129199
1922	1	sp|Q08481|PECA1_MOUSE	 	 	 	 	148971	6.2	727	81262	Platelet endothelial cell adhesion molecule OS=Mus musculus OX=10090 GN=Pecam1 PE=1 SV=1	7	7	1	2	2	3	2	2	3	2	2	3	2	239440	147651	258803	7282	245286	239743	180216	11980	296473	273631	190051	2	265669	52286	191581	3693	152224	89531	322154	7602	304177	149435	153835	3	124127	114230	150533	8573	117096	128185	146673	5641	157775	77430	103026
5479	1	sp|Q9DCL2|CIA2A_MOUSE	 	 	 	 	148879	19.4	160	18418	Cytosolic iron-sulfur assembly component 2A OS=Mus musculus OX=10090 GN=Ciao2a PE=1 SV=1	7	7	1	3	2	2	3	2	2	3	2	2	3	240616	186601	248748	21263	301552	396158	210286	26347	274223	230891	213669	2	145313	107993	181988	9762	140451	177012	138180	10807	177645	140863	123002	2	144144	124567	126176	10052	130773	128965	157852	8118	174582	94449	109968
5900	1	sp|Q9R022|DJC12_MOUSE	 	 	 	 	148702	18.2	198	22852	DnaJ homolog subfamily C member 12 OS=Mus musculus OX=10090 GN=Dnajc12 PE=1 SV=1	7	7	1	2	2	3	2	2	3	2	2	3	2	71171	51592	77736	3452	82587	115135	234515	6149	94873	150854	88806	2	62689	79191	78351	4592	66992	131497	534295	9987	116744	107425	119176	3	106150	158792	104981	11230	154393	186014	1383705	6566	190212	79195	238124
3775	1	sp|Q8K023|AKC1H_MOUSE	 	 	"sp|P70694|DHB5_MOUSE, sp|Q8K023|AKC1H_MOUSE, sp|Q8VCX1|AK1D1_MOUSE, tr|Q8VC77|Q8VC77_MOUSE, tr|Q91WT7|Q91WT7_MOUSE"	 	148571	30.3	323	37176	Aldo-keto reductase family 1 member C18 OS=Mus musculus OX=10090 GN=Akr1c18 PE=1 SV=2	99	6	0.061	29	36	34	1	5	0	1.18	6.033	0	1	119866	13311	37665	1389	91662	15158	20103	674	20231	21484	34154	5	220709	1336216	132628	59431	186164	83033	100471	27352	130887	1838679	411557	0	0	0	0	0	0	0	0	0	0	0	0
6415	1	tr|Q9EQC8|Q9EQC8_MOUSE	 	 	"tr|E9Q512|E9Q512_MOUSE, tr|Q9EQC8|Q9EQC8_MOUSE"	 	148470	12.4	491	52301	Papillary Renal Cell carcinoma (Translocation-associated) OS=Mus musculus OX=10090 GN=Prcc PE=1 SV=1	11	9	0.818	4	4	3	4	4	1	4	4	1.054	4	313118	250679	365349	14490	330788	368265	179175	17306	254892	315225	240929	4	196088	167935	294500	14069	213052	250098	183624	15799	252508	225242	181291	1	31339	22593	33372	890	33990	22712	30361	577	37313	18749	23189
3911	1	sp|Q8K4K6|PANK1_MOUSE	 	 	"sp|Q7M753|PANK2_MOUSE, sp|Q8K4K6|PANK1_MOUSE, sp|Q8R2W9|PANK3_MOUSE"	 	148425	20.4	548	60091	Pantothenate kinase 1 OS=Mus musculus OX=10090 GN=Pank1 PE=1 SV=1	27	16	0.593	10	8	9	6	5	5	8.94	6.964	8.5	6	153995	151272	180844	11421	186154	202500	109304	10303	149128	203554	135848	5	168219	235020	260970	17027	259826	268273	207295	15033	272116	286235	199001	5	113540	169036	133027	10368	144629	134914	160512	6177	149914	82131	110425
536	1	sp|O55236|MCE1_MOUSE	 	 	 	 	148397	9.4	597	68683	mRNA-capping enzyme OS=Mus musculus OX=10090 GN=Rngtt PE=1 SV=1	10	10	1	2	3	5	2	3	5	2	3	5	2	104179	77500	98580	4863	89401	116224	64867	5637	84304	99768	74532	3	126252	139881	193321	14755	143437	196264	137457	12162	179890	184568	132799	5	280081	302813	304829	20470	276522	293020	343001	15317	353239	189305	237860
3626	1	sp|Q8CD10|MICU2_MOUSE	 	 	 	 	148308	17.4	432	49475	"Calcium uptake protein 2, mitochondrial OS=Mus musculus OX=10090 GN=Micu2 PE=1 SV=2"	11	11	1	3	5	3	3	5	3	3	5	3	3	307052	179040	295702	8102	297132	369821	183735	9582	229794	248862	212882	5	172223	135676	225540	7556	176098	210643	170262	5762	199476	191409	149465	3	105892	89897	109684	4268	104517	111061	124631	3038	111658	61117	82576
2578	1	sp|Q63810|CANB1_MOUSE	 	 	 	 	148042	11.2	170	19300	Calcineurin subunit B type 1 OS=Mus musculus OX=10090 GN=Ppp3r1 PE=1 SV=3	6	6	1	2	2	2	2	2	2	2	2	2	2	261959	208463	371881	15907	320668	387251	194749	20584	369157	273839	242446	2	152082	99647	172898	7392	144615	216673	163161	11235	175049	131192	127394	2	86441	82665	96568	4642	99098	98611	97457	4651	104461	68273	74287
6291	1	tr|E9Q8I7|E9Q8I7_MOUSE	 	 	 	 	147745	10.2	918	101507	"Nuclear transcription factor, X-box binding-like 1 OS=Mus musculus OX=10090 GN=Nfxl1 PE=1 SV=1"	18	18	1	6	6	6	6	6	6	6	6	6	6	174848	120564	201089	8174	149483	178796	110117	8375	165695	186914	130406	6	159737	71343	202934	6316	115176	137481	143737	7326	174471	120723	113925	6	270177	226050	289664	22535	220197	242859	295755	17412	259299	145101	198905
2668	1	sp|Q69ZN7|MYOF_MOUSE	 	 	"sp|Q69ZN7|MYOF_MOUSE, sp|Q9ESD7|DYSF_MOUSE"	 	147701	7.2	2048	233321	Myoferlin OS=Mus musculus OX=10090 GN=Myof PE=1 SV=2	21	17	0.81	7	6	8	6	5	6	6.353	5.417	7	6	128911	105470	219405	10921	160874	286361	120750	13307	141598	145984	133358	5	210480	159174	350755	13777	208578	410731	273743	21174	246237	204672	209932	6	96905	122548	146191	8849	115112	168416	153068	9203	117677	60163	99813
4980	1	sp|Q9CWH5|TRM11_MOUSE	 	 	 	 	147690	5	460	52904	tRNA (guanine(10)-N(2))-methyltransferase homolog OS=Mus musculus OX=10090 GN=Trmt11 PE=1 SV=1	4	4	1	0	1	3	0	1	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	258679	310902	402152	25778	391663	324019	450603	22384	406698	430216	302309	3	161801	175826	188150	16510	182292	178220	217677	10818	181110	95199	140760
5681	1	sp|Q9JJ80|RPF2_MOUSE	 	 	 	 	147594	21.6	306	35363	Ribosome production factor 2 homolog OS=Mus musculus OX=10090 GN=Rpf2 PE=2 SV=2	13	13	1	5	4	4	5	4	4	5	4	4	5	206398	149313	178437	8690	180824	190720	136781	9080	201364	246058	150767	4	180779	188546	230066	10753	191921	186376	214782	9871	271875	262361	174733	4	136186	157163	126846	11203	131339	115188	167494	5200	212110	110109	117284
4615	1	sp|Q99JR6|NMNA3_MOUSE	 	 	 	 	147558	43.7	245	27702	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 OS=Mus musculus OX=10090 GN=Nmnat3 PE=1 SV=1	14	14	1	5	5	4	5	5	4	5	5	4	5	189036	53152	252308	7464	101140	399057	178121	26709	297164	329218	183337	5	182993	93491	277675	9106	138784	357687	243670	16473	331187	134997	178606	4	81148	40962	105700	6365	50143	150269	126002	8239	157055	81427	80731
5056	1	sp|Q9CYH6|RRS1_MOUSE	 	 	 	 	147213	25.5	365	41551	Ribosome biogenesis regulatory protein homolog OS=Mus musculus OX=10090 GN=Rrs1 PE=1 SV=1	20	20	1	7	7	6	7	7	6	7	7	6	7	245665	211777	222692	12311	255560	240355	173962	14026	261395	315036	195278	7	139209	140175	181065	10122	148301	146022	167996	8432	222302	214937	137856	6	119042	143869	120860	10238	137250	103188	154817	5770	185125	104898	108506
1686	1	sp|P70274|SEPP1_MOUSE	 	 	 	 	147052	15	380	42705	Selenoprotein P OS=Mus musculus OX=10090 GN=Selenop PE=1 SV=3	12	12	1	4	4	4	4	4	4	4	4	4	4	174531	139253	181916	11819	198642	239631	124209	12465	176469	146099	140503	4	94514	88854	139106	7112	116436	147052	105663	6689	126064	135689	96718	4	239647	274164	252999	18628	289547	242881	312737	13735	270043	124972	203935
2684	1	sp|Q6A098|SBP2L_MOUSE	 	 	 	 	147017	2.9	1086	119639	Selenocysteine insertion sequence-binding protein 2-like OS=Mus musculus OX=10090 GN=Secisbp2l PE=1 SV=2	5	5	1	2	2	1	2	2	1	2	2	1	2	316530	248561	303790	25552	388032	480317	252179	35462	339038	459401	284886	2	105054	82568	149136	4399	120671	116292	111913	5434	140494	107548	94351	1	68978	83039	74967	6064	79509	85462	84695	5003	88329	42097	61814
6270	1	tr|E9PYG6|E9PYG6_MOUSE	 	 	 	 	146805	9.4	1038	115428	RAS p21 protein activator 1 OS=Mus musculus OX=10090 GN=Rasa1 PE=1 SV=1	13	13	1	5	4	4	5	4	4	5	4	4	5	265152	188685	298874	14255	257675	330212	156931	16070	234756	276771	203938	4	107854	85933	156984	6662	110945	138255	102380	7611	126799	108301	95172	4	171496	176655	185359	8253	161608	196321	179634	7435	213598	112672	141303
2989	1	sp|Q80TP3|UBR5_MOUSE	 	 	 	 	146781	4.2	2792	308349	E3 ubiquitin-protein ligase UBR5 OS=Mus musculus OX=10090 GN=Ubr5 PE=1 SV=2	15	15	1	3	5	7	3	5	7	3	5	7	3	65132	51357	73170	3591	72075	77148	38757	4116	55026	76241	51661	5	128536	97604	172839	6726	132099	131941	123754	6509	175375	158846	113423	7	335073	350762	340342	16288	323832	378118	365342	12185	415232	215409	275258
3003	1	sp|Q80U78|PUM1_MOUSE	 	 	"sp|Q80U58|PUM2_MOUSE, sp|Q80U78|PUM1_MOUSE"	 	146734	6.9	1189	126618	Pumilio homolog 1 OS=Mus musculus OX=10090 GN=Pum1 PE=1 SV=2	19	11	0.579	7	5	7	5	2	4	6.667	3.5	7	5	234852	187139	248127	14796	250609	274595	172066	12358	234442	268413	189740	2	107476	85860	138609	3696	101772	122448	110771	4256	140011	117959	93286	4	192433	191965	190113	10478	196944	191888	223318	5874	235477	133286	157178
3506	1	sp|Q8C025|CHPT1_MOUSE	 	 	 	 	146602	8	398	44607	Cholinephosphotransferase 1 OS=Mus musculus OX=10090 GN=Chpt1 PE=1 SV=1	12	12	1	5	2	5	5	2	5	5	2	5	5	265964	151668	224934	7742	223106	178964	142770	9551	265517	202013	167223	2	41873	22281	45150	519	38161	33002	34959	1530	57903	34839	31022	5	363366	413787	324785	25356	226112	318051	267215	11141	316761	149044	241562
5155	1	sp|Q9D136|OGFD3_MOUSE	 	 	"sp|Q8C9S4|CC186_MOUSE, sp|Q9D136|OGFD3_MOUSE"	 	146302	15.6	315	35384	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3 OS=Mus musculus OX=10090 GN=Ogfod3 PE=2 SV=1	13	10	0.769	4	4	5	3	3	4	4	3.6	4.8	3	215196	312813	278204	67664	428393	302031	197453	48705	259143	262164	237177	3	77290	54555	108044	8122	68824	114325	117991	12541	160883	80100	80267	4	127202	162830	125088	17463	145288	158453	154839	10974	209697	102798	121463
3918	1	sp|Q8K4R4|PITC1_MOUSE	 	 	 	 	146020	13.3	332	38383	Cytoplasmic phosphatidylinositol transfer protein 1 OS=Mus musculus OX=10090 GN=Pitpnc1 PE=1 SV=1	12	12	1	4	5	3	4	5	3	4	5	3	4	146567	112099	172941	6945	166474	114599	58195	7607	109371	152042	104684	5	250095	206491	330767	13172	253618	227519	137471	10159	236094	305879	197127	3	176248	195347	210089	10701	197274	131895	127326	4747	201022	107835	136248
469	1	sp|O35892|SP100_MOUSE	 	 	 	 	146014	9.8	482	54726	Nuclear autoantigen Sp-100 OS=Mus musculus OX=10090 GN=Sp100 PE=1 SV=2	8	8	1	2	4	2	2	4	2	2	4	2	2	135514	112844	245560	8142	146150	380787	114731	14897	189512	217396	156553	4	151460	97445	270145	12108	149396	310438	198722	14691	191846	139484	153573	2	133519	131384	180416	7278	160686	189296	175532	6336	187864	106847	127916
4509	1	sp|Q921Q3|ALG1_MOUSE	 	 	 	 	145918	4.8	482	54417	Chitobiosyldiphosphodolichol beta-mannosyltransferase OS=Mus musculus OX=10090 GN=Alg1 PE=1 SV=3	6	6	1	3	2	1	3	2	1	3	2	1	3	253336	194758	256916	12936	249634	351463	180422	11311	205176	232769	194872	2	122177	149198	167855	9454	140409	225363	151469	6601	134481	167398	127441	1	112045	213735	153281	22284	148702	198922	124485	14118	91105	75725	115440
2392	1	sp|Q60974|NCOR1_MOUSE	 	 	 	 	145747	3.3	2453	270639	Nuclear receptor corepressor 1 OS=Mus musculus OX=10090 GN=Ncor1 PE=1 SV=1	14	14	1	4	5	5	4	5	5	4	5	5	4	259533	246289	300909	13075	305969	358254	184645	11043	297550	303105	228037	5	108420	105389	169097	6042	123250	151329	117076	8330	141721	138209	106886	5	123546	115402	132164	6793	123201	134671	144491	4941	157149	80811	102317
4471	1	sp|Q91ZR1|RAB4B_MOUSE	 	 	"sp|O35963|RB33B_MOUSE, sp|P35276|RAB3D_MOUSE, sp|P35279|RAB6A_MOUSE, sp|P35283|RAB12_MOUSE, sp|P55258|RAB8A_MOUSE, sp|P56371|RAB4A_MOUSE, sp|P61027|RAB10_MOUSE, sp|P61028|RAB8B_MOUSE, sp|P62821|RAB1A_MOUSE, sp|P62823|RAB3C_MOUSE, sp|Q6PHN9|RAB35_MOUSE, sp|Q8BHC1|RB39B_MOUSE, sp|Q8CG50|RAB43_MOUSE, sp|Q91V41|RAB14_MOUSE, sp|Q91ZR1|RAB4B_MOUSE, sp|Q923S9|RAB30_MOUSE, sp|Q9CZT8|RAB3B_MOUSE, sp|Q9D1G1|RAB1B_MOUSE"	 	145473	39.4	213	23629	Ras-related protein Rab-4B OS=Mus musculus OX=10090 GN=Rab4b PE=1 SV=2	35	8	0.229	12	11	12	3	2	3	3.492	2.492	3.777	3	234916	196224	263110	17090	271604	292126	167436	18233	313618	339585	211394	2	165620	115971	206526	9250	159187	235005	192634	11691	236623	180791	151330	3	78776	91191	83633	6753	91224	111261	96301	3471	100993	73331	73694
1949	1	sp|Q19LI2|A1BG_MOUSE	 	 	 	 	145242	13.3	512	56553	Alpha-1B-glycoprotein OS=Mus musculus OX=10090 GN=A1bg PE=1 SV=1	10	10	1	7	1	2	7	1	2	7	1	2	7	121823	113789	193347	32501	647575	1691348	116180	57582	192583	194474	336120	1	12045	11542	31180	1048	16497	42056	13205	1131	13285	17759	15975	2	39027	56111	45232	11701	68829	431169	43995	13981	68591	57678	83631
1342	1	sp|P51880|FABP7_MOUSE	 	 	 	 	145198	15.9	132	14893	"Fatty acid-binding protein, brain OS=Mus musculus OX=10090 GN=Fabp7 PE=1 SV=2"	7	7	1	3	2	2	3	2	2	3	2	2	3	114288	135718	185074	11891	283847	238391	128823	10495	145414	136042	138998	2	124998	242736	293508	14245	327196	386197	282261	20298	215407	338716	224556	2	47947	105925	109181	6671	124146	103897	109537	5318	70549	37227	72040
2271	1	sp|Q5KU39|VPS41_MOUSE	 	 	 	 	145192	5.5	853	98601	Vacuolar protein sorting-associated protein 41 homolog OS=Mus musculus OX=10090 GN=Vps41 PE=1 SV=1	9	9	1	4	3	2	4	3	2	4	3	2	4	340099	248464	349554	15651	369701	387650	206211	17161	270849	350086	255543	3	133296	135015	178473	6054	156629	166662	118856	4436	160143	161643	122121	2	75917	76482	70200	3811	74964	69281	81549	2471	83062	41377	57911
3789	1	sp|Q8K0H1|S47A1_MOUSE	 	 	 	 	145140	10.4	567	61641	Multidrug and toxin extrusion protein 1 OS=Mus musculus OX=10090 GN=Slc47a1 PE=1 SV=2	10	10	1	4	3	3	4	3	3	4	3	3	4	194909	297360	231913	19005	386237	276433	129771	14894	265056	235431	205101	3	148195	202141	134026	10498	186708	209444	139208	8398	218209	272640	152947	3	78133	118005	83375	6844	116602	124259	80799	4462	97823	63416	77372
232	1	sp|A8C756|THADA_MOUSE	 	 	 	 	145073	3.6	1938	217287	tRNA (32-2'-O)-methyltransferase regulator THADA OS=Mus musculus OX=10090 GN=Thada PE=1 SV=1	13	13	1	6	3	4	6	3	4	6	3	4	6	230823	160698	227248	12220	234905	242813	122898	13744	207344	281943	173464	3	76611	72278	99104	3755	70483	84973	66159	2999	105929	94630	67692	4	251835	233686	219200	17987	219047	217120	253121	14017	330242	184380	194064
5389	1	sp|Q9DBB4|NAA16_MOUSE	 	 	"sp|Q80UM3|NAA15_MOUSE, sp|Q9DBB4|NAA16_MOUSE"	 	145032	14.7	864	101283	"N-alpha-acetyltransferase 16, NatA auxiliary subunit OS=Mus musculus OX=10090 GN=Naa16 PE=2 SV=1"	32	13	0.406	10	9	13	4	3	6	4.8	3.581	7.615	4	219692	142970	222118	14037	195061	224453	141474	16178	208352	204301	158864	3	111731	76657	130889	4337	117973	101862	116362	5531	246565	121679	103359	6	208596	209792	210665	12882	199192	199728	235789	9111	294195	148783	172873
2872	1	sp|Q6ZQL4|WDR43_MOUSE	 	 	 	 	145010	7.5	677	75380	WD repeat-containing protein 43 OS=Mus musculus OX=10090 GN=Wdr43 PE=1 SV=2	12	12	1	4	4	4	4	4	4	4	4	4	4	193447	150558	178451	12889	169824	257162	131549	15455	223998	299814	163315	4	163867	129636	215559	9451	139591	183906	199909	8193	262300	174460	148687	4	139676	159537	125872	10826	128891	137682	170962	5904	220440	130490	123028
373	1	sp|O08912|GALT1_MOUSE	 	 	 	 	144416	8.4	559	64254	Polypeptide N-acetylgalactosaminyltransferase 1 OS=Mus musculus OX=10090 GN=Galnt1 PE=1 SV=1	9	9	1	3	2	4	3	2	4	3	2	4	3	195569	124859	228137	10920	183483	260684	139483	13890	224791	278634	166045	2	142107	117911	216654	10691	134650	192105	130129	10621	220000	155455	133032	4	147906	145963	176064	11372	138736	172355	178761	8838	238115	123605	134171
2111	1	sp|Q3UHH2|S22AN_MOUSE	 	 	 	 	144236	7.8	689	74324	Solute carrier family 22 member 23 OS=Mus musculus OX=10090 GN=Slc22a23 PE=2 SV=1	12	12	1	5	5	2	5	5	2	5	5	2	5	277693	264877	329953	19774	385105	433994	219995	18054	276332	287438	251322	5	101338	158799	169843	13262	165490	173000	125094	9821	154179	193874	126470	2	59429	70513	66757	4619	77621	72635	71923	2467	75566	47637	54917
3704	1	sp|Q8CI08|SLAI2_MOUSE	 	 	 	 	144056	24.6	581	62377	SLAIN motif-containing protein 2 OS=Mus musculus OX=10090 GN=Slain2 PE=1 SV=2	21	21	1	8	8	5	8	8	5	8	8	5	8	152740	125966	151441	5810	171062	201649	107323	8878	143187	157138	122520	8	152538	104120	203986	7037	135268	208683	179631	6781	219773	157709	137553	5	176611	187747	213925	8936	217167	238447	263176	9966	265194	139785	172095
2050	1	sp|Q3U1C6|TATD3_MOUSE	 	 	 	 	143998	18.7	294	32436	Putative deoxyribonuclease TATDN3 OS=Mus musculus OX=10090 GN=Tatdn3 PE=1 SV=1	10	10	1	3	3	4	3	3	4	3	3	4	3	149616	34044	160213	5549	49841	192287	74844	11720	122326	152165	95261	3	214487	51013	316879	7149	65186	286291	174816	14347	260522	63405	145409	4	250576	141670	297070	17051	139923	315830	291197	15186	289579	155150	191323
4421	1	sp|Q91YE7|RBM5_MOUSE	 	 	"sp|Q91YE7|RBM5_MOUSE, sp|Q99KG3|RBM10_MOUSE"	 	143885	10.7	815	92310	RNA-binding protein 5 OS=Mus musculus OX=10090 GN=Rbm5 PE=1 SV=1	13	11	0.846	4	4	5	4	3	4	4	3.273	4.308	4	283378	241991	326947	20444	323838	391208	221052	23227	275216	360954	246826	3	58072	42942	83539	3949	60063	64172	55681	3037	68819	61394	50167	4	165319	185326	178431	10365	168066	162647	181003	8090	183100	104294	134664
